episode_seed,reward,episode_length,crashed,mean_speed
4000,20.454545454545464,30,0,20.03435166840848
4001,10.561284946197578,12,1,27.53238847047842
4002,20.454545454545464,30,0,20.03435166840848
4003,20.454545454545464,30,0,20.03435166840848
4004,20.454545454545464,30,0,20.03435166840848
4005,20.571645133062454,30,0,20.201018335075148
4006,20.454545454545464,30,0,20.03435166840848
4007,20.454545454545464,30,0,20.03435166840848
4008,20.454545454545464,30,0,20.03435166840848
4009,20.454545454545464,30,0,20.03435166840848
4010,20.454545454545464,30,0,20.03435166840848
4011,20.454545454545464,30,0,20.03435166840848
4012,20.454545454545464,30,0,20.03435166840848
4013,20.454545454545464,30,0,20.03435166840848
4014,20.454545454545464,30,0,20.03435166840848
4015,20.454545454545464,30,0,20.03435166840848
4016,20.454545454545464,30,0,20.03435166840848
4017,20.454545454545464,30,0,20.03435166840848
4018,20.454545454545464,30,0,20.03435166840848
4019,20.454545454545464,30,0,20.03435166840848
4020,20.454545454545464,30,0,20.03435166840848
4021,20.454545454545464,30,0,20.03435166840848
4022,20.693181818181827,30,0,20.367685001741812
4023,20.454545454545464,30,0,20.03435166840848
4024,20.454545454545464,30,0,20.03435166840848
4025,20.454545454545464,30,0,20.03435166840848
4026,20.454545454545464,30,0,20.03435166840848
4027,20.454545454545464,30,0,20.03435166840848
4028,20.454545454545464,30,0,20.03435166840848
4029,10.651528973134399,12,1,28.613380088667128
4030,20.454545454545464,30,0,20.03435166840848
4031,20.454545454545464,30,0,20.03435166840848
4032,20.454545454545464,30,0,20.03435166840848
4033,20.454545454545464,30,0,20.03435166840848
4034,20.454545454545464,30,0,20.03435166840848
4035,20.454545454545464,30,0,20.03435166840848
4036,20.454545454545464,30,0,20.03435166840848
4037,20.93181818181819,30,0,20.701018335075144
4038,8.163563641689331,10,1,26.40177520598163
4039,20.454545454545464,30,0,20.03435166840848
4040,20.454545454545464,30,0,20.03435166840848
4041,20.454545454545464,30,0,20.03435166840848
4042,8.989439823218717,10,1,29.173448698378497
4043,20.454545454545464,30,0,20.03435166840848
4044,20.454545454545464,30,0,20.03435166840848
4045,20.454545454545464,30,0,20.03435166840848
4046,20.454545454545464,30,0,20.03435166840848
4047,20.454545454545464,30,0,20.03435166840848
4048,20.454545454545464,30,0,20.03435166840848
4049,20.454545454545464,30,0,20.03435166840848
