episode_index,global_step,episode_reward,episode_length,epsilon,crashed,mean_speed
1,20,14.502398,20,0.999774,1,22.873863
2,25,3.598889,5,0.999715,1,24.73336
3,46,14.813106,21,0.999466,1,22.151791
4,59,10.013224,13,0.999311,1,25.003252
5,89,22.289479,30,0.998955,0,22.700847
6,95,3.964806,6,0.998884,1,24.167377
7,100,2.812777,5,0.998824,1,21.066594
8,108,6.155892,8,0.998729,1,26.277065
9,127,12.812729,19,0.998504,1,21.498078
10,132,3.198218,5,0.998444,1,22.508059
11,136,2.403409,4,0.998397,1,24.181615
12,144,6.010461,8,0.998302,1,24.525176
13,159,10.212254,15,0.998124,1,21.569423
14,178,13.699047,19,0.997898,1,22.636367
15,202,16.067706,24,0.997613,1,20.697203
16,222,14.859399,20,0.997376,1,23.127358
17,225,1.958373,3,0.99734,1,24.669085
18,231,3.853761,6,0.997269,1,22.459321
19,255,19.798863,24,0.996984,1,25.939619
20,263,5.227601,8,0.996889,1,21.61627
21,293,21.449365,30,0.996533,0,21.5
22,313,15.379853,20,0.996295,1,24.018303
23,319,3.772987,6,0.996224,1,21.866332
24,326,4.884668,7,0.996141,1,24.113776
25,334,5.447591,8,0.996046,1,22.413009
26,357,16.510701,23,0.995772,1,22.400729
27,367,8.272205,10,0.995654,1,27.399867
28,372,3.673276,5,0.995594,1,26.799909
29,378,4.400026,6,0.995523,1,24.513784
30,405,21.849237,27,0.995202,1,25.373538
31,414,6.682364,9,0.995096,1,24.022379
32,421,5.792283,7,0.995012,1,27.881015
33,430,7.360577,9,0.994906,1,27.088923
34,453,17.333092,23,0.994633,1,23.087396
35,483,21.641046,30,0.994276,0,21.866711
36,487,2.794337,4,0.994229,1,24.858553
37,504,12.065741,17,0.994027,1,22.649531
38,517,10.958945,13,0.993873,1,26.93011
39,534,13.011753,17,0.993671,1,24.35397
40,540,4.853021,6,0.993599,1,28.060099
41,545,3.199682,5,0.99354,1,21.953551
42,575,22.762754,30,0.993184,0,22.966486
43,581,4.564033,6,0.993112,1,25.184652
44,611,23.238817,30,0.992756,0,23.53352
45,641,21.605092,30,0.9924,0,21.534175
46,655,9.699384,14,0.992234,1,22.027562
47,664,6.36422,9,0.992127,1,23.34267
48,671,5.955327,7,0.992044,1,27.168168
49,701,23.548461,30,0.991688,0,23.632315
50,731,23.032257,30,0.991331,0,23.034352
51,753,15.909521,22,0.99107,1,22.777486
52,757,2.564214,4,0.991023,1,22.835446
53,766,5.818272,9,0.990916,1,21.114852
54,777,8.477964,11,0.990785,1,24.648479
55,787,6.136364,10,0.990666,1,19.106279
56,811,18.388905,24,0.990381,1,23.801848
57,821,7.795549,10,0.990263,1,25.348497
58,835,12.350937,14,0.990096,1,27.863763
59,847,8.726682,12,0.989954,1,23.227457
60,852,3.050018,5,0.989894,1,21.338769
61,882,23.793059,30,0.989538,0,23.966681
62,907,19.491938,25,0.989241,1,24.3607
63,922,10.295289,15,0.989063,1,21.895638
64,925,1.600054,3,0.989027,1,22.788081
65,943,12.74625,18,0.988814,1,22.459452
66,951,5.765059,8,0.988719,1,24.402058
67,958,4.409271,7,0.988636,1,21.814914
68,977,12.994769,19,0.98841,1,21.850348
69,1001,18.371374,24,0.988125,1,23.962194
70,1003,1.278391,2,0.988101,1,29.499772
71,1015,9.727229,12,0.987959,1,25.698928
72,1023,4.85804,8,0.987864,1,19.440559
73,1053,20.85581,30,0.987507,0,20.701014
74,1058,3.454264,5,0.987448,1,25.673528
75,1065,4.692192,7,0.987365,1,23.028308
76,1095,26.014409,30,0.987009,0,26.132315
77,1105,7.202709,10,0.98689,1,24.152573
78,1129,17.122724,24,0.986605,1,22.583149
79,1147,15.908871,18,0.986391,1,27.767994
80,1150,1.960209,3,0.986356,1,23.456451
81,1154,2.959217,4,0.986308,1,26.272804
82,1175,15.575037,21,0.986059,1,23.578884
83,1184,6.417206,9,0.985952,1,23.771925
84,1198,9.451357,14,0.985786,1,21.617584
85,1204,4.559254,6,0.985714,1,25.848536
86,1214,6.537396,10,0.985596,1,21.178778
87,1219,3.717411,5,0.985536,1,27.021074
88,1232,8.72858,13,0.985382,1,21.284916
89,1238,4.056199,6,0.985311,1,23.065741
90,1268,20.545688,30,0.984954,0,20.201018
91,1272,2.401191,4,0.984907,1,22.606004
92,1284,8.312851,12,0.984764,1,22.59983
93,1306,17.778275,22,0.984503,1,25.050893
94,1310,2.564214,4,0.984456,1,25.051643
95,1314,2.60128,4,0.984408,1,23.360793
96,1323,6.126412,9,0.984301,1,22.603845
97,1328,3.197865,5,0.984242,1,22.340855
98,1347,14.305656,19,0.984016,1,23.689086
99,1368,15.107968,21,0.983767,1,22.828369
100,1395,19.082494,27,0.983446,1,21.975169
101,1404,5.539853,9,0.983339,1,20.441055
102,1427,16.982203,23,0.983066,1,23.234883
103,1433,3.850332,6,0.982995,1,23.629691
104,1437,2.792487,4,0.982947,1,24.400056
105,1444,5.56132,7,0.982864,1,26.441777
106,1451,5.792283,7,0.982781,1,27.207623
107,1470,14.005465,19,0.982556,1,23.524913
108,1491,14.261831,21,0.982306,1,21.073333
109,1499,5.883495,8,0.982211,1,24.126546
110,1502,1.600054,3,0.982176,1,22.175244
111,1505,1.767153,3,0.98214,1,23.347427
112,1516,8.961603,11,0.982009,1,26.371413
113,1519,1.960209,3,0.981974,1,26.265661
114,1539,17.477629,20,0.981736,1,27.025331
115,1552,10.401536,13,0.981582,1,26.076886
116,1555,1.602273,3,0.981546,1,21.465249
117,1585,23.663545,30,0.98119,0,24.333338
118,1604,14.453096,19,0.980964,1,24.830297
119,1608,2.957377,4,0.980917,1,27.244713
120,1620,9.327105,12,0.980774,1,25.843159
121,1650,22.048578,30,0.980418,0,22.201018
122,1658,5.407036,8,0.980323,1,22.298239
123,1677,17.116988,19,0.980097,1,28.426466
124,1698,14.355681,21,0.979848,1,21.101955
125,1722,21.51563,24,0.979563,1,28.129301
126,1736,10.80053,14,0.979397,1,24.95684
127,1746,7.806985,10,0.979278,1,26.021677
128,1750,2.248884,4,0.979231,1,21.354964
129,1762,9.959965,12,0.979088,1,26.313284
130,1792,21.890961,30,0.978732,0,21.800156
131,1798,4.561489,6,0.978661,1,25.064227
132,1815,13.798263,17,0.978459,1,25.870541
133,1828,9.997029,13,0.978304,1,24.192063
134,1858,21.636659,30,0.977948,0,21.834336
135,1888,24.341616,30,0.977592,0,24.834164
136,1894,4.196508,6,0.977521,1,24.828667
137,1896,0.966017,2,0.977497,1,24.390381
138,1902,3.731796,6,0.977426,1,22.328255
139,1913,8.261305,11,0.977295,1,24.284814
140,1941,20.048975,28,0.976962,1,21.929196
141,1971,21.028265,30,0.976606,0,21.034347
142,1997,23.599085,26,0.976298,1,27.895706
143,2020,17.927412,23,0.976024,1,24.261503
144,2045,21.877773,25,0.975727,1,27.203696
145,2050,4.11232,5,0.975668,1,28.964808
146,2078,22.00905,28,0.975336,1,24.685924
147,2090,10.588011,12,0.975193,1,28.477871
148,2120,21.266683,30,0.974837,0,21.367684
149,2126,3.760384,6,0.974766,1,21.012223
150,2137,7.539868,11,0.974635,1,22.275788
151,2156,13.648928,19,0.974409,1,22.696654
152,2160,2.757267,4,0.974362,1,23.842338
153,2187,18.79998,27,0.974041,1,21.608423
154,2197,6.935465,10,0.973923,1,23.336785
155,2213,10.826189,16,0.973733,1,21.061981
156,2219,3.997485,6,0.973661,1,22.603949
157,2224,3.20231,5,0.973602,1,22.687206
158,2231,5.254208,7,0.973519,1,26.194539
159,2242,9.756473,11,0.973388,1,28.190225
160,2253,8.560195,11,0.973257,1,25.92787
161,2283,21.085444,30,0.972901,0,21.034323
162,2288,3.959047,5,0.972842,1,27.018487
163,2290,1.278391,2,0.972818,1,29.499772
164,2297,4.382858,7,0.972735,1,21.643818
165,2300,2.050634,3,0.972699,1,27.787257
166,2318,12.342951,18,0.972486,1,21.765412
167,2333,11.995352,15,0.972307,1,25.625493
168,2341,5.889107,8,0.972213,1,24.381325
169,2344,1.958373,3,0.972177,1,24.669085
170,2369,19.310806,25,0.97188,1,23.88313
171,2385,12.172858,16,0.97169,1,24.140259
172,2394,7.561455,9,0.971583,1,27.232385
173,2399,3.36535,5,0.971524,1,25.041314
174,2403,2.41598,4,0.971476,1,23.444498
175,2417,12.161856,14,0.97131,1,27.163927
176,2447,22.662536,30,0.970954,0,23.19615
177,2455,6.24126,8,0.970859,1,26.289857
178,2459,2.959217,4,0.970811,1,27.199939
179,2461,1.276554,2,0.970788,1,29.499772
180,2466,2.925012,5,0.970728,1,20.685534
181,2473,5.247058,7,0.970645,1,26.190384
182,2480,5.557235,7,0.970562,1,26.513658
183,2494,12.955312,14,0.970396,1,29.017453
184,2507,8.469711,13,0.970241,1,20.645048
185,2515,7.052263,8,0.970146,1,29.17007
186,2519,2.403409,4,0.970099,1,23.421461
187,2536,15.186118,17,0.969897,1,27.62523
188,2541,3.197884,5,0.969838,1,24.345292
189,2555,10.208271,14,0.969671,1,23.928582
190,2572,13.284753,17,0.969469,1,24.778669
191,2581,7.591313,9,0.969363,1,26.955781
192,2589,5.44787,8,0.969267,1,22.132626
193,2595,4.356912,6,0.969196,1,24.510587
194,2605,6.829943,10,0.969078,1,23.340216
195,2616,8.997596,11,0.968947,1,25.966046
196,2626,6.928789,10,0.968828,1,22.400695
197,2642,11.579791,16,0.968638,1,23.562258
198,2646,2.585658,4,0.968591,1,25.426094
199,2649,1.602273,3,0.968555,1,20.065242
200,2652,1.767153,3,0.968519,1,23.347427
201,2655,1.922265,3,0.968484,1,26.705971
202,2676,15.935485,21,0.968234,1,23.985064
203,2680,2.398983,4,0.968187,1,21.480998
204,2702,15.856197,22,0.967926,1,23.033322
205,2732,21.291793,30,0.967569,0,21.334336
206,2736,2.60128,4,0.967522,1,23.360793
207,2749,8.617094,13,0.967368,1,21.106844
208,2751,0.798918,2,0.967344,1,22.662963
209,2777,19.033736,26,0.967035,1,22.876837
210,2783,4.959018,6,0.966964,1,26.731428
211,2792,6.157804,9,0.966857,1,23.525897
212,2813,16.687925,21,0.966607,1,24.873137
213,2824,8.008588,11,0.966477,1,24.467791
214,2831,5.203383,7,0.966394,1,24.77777
215,2854,16.411887,23,0.966121,1,21.901729
216,2868,11.038257,14,0.965954,1,25.834952
217,2876,6.008621,8,0.965859,1,25.474969
218,2882,3.729188,6,0.965788,1,20.699142
219,2885,1.726964,3,0.965753,1,25.063771
220,2906,13.920545,21,0.965503,1,20.266988
221,2911,3.957198,5,0.965444,1,26.602843
222,2916,3.20048,5,0.965384,1,22.687206
223,2946,20.861615,30,0.965028,0,20.672537
224,2950,2.599059,4,0.964981,1,24.672154
225,2960,7.771837,10,0.964862,1,25.504946
226,2969,7.752635,9,0.964755,1,27.380877
227,2994,18.052471,25,0.964458,1,22.683251
228,3003,6.653262,9,0.964351,1,25.036866
229,3033,21.070899,30,0.963995,1,21.614534
230,3040,5.162519,7,0.963912,1,24.455338
231,3043,1.764923,3,0.963876,1,22.893531
232,3057,11.681084,14,0.96371,1,26.605578
233,3085,18.647727,28,0.963377,1,20.037957
234,3098,10.007289,13,0.963223,1,24.569424
235,3105,5.36517,7,0.96314,1,25.405937
236,3113,5.961392,8,0.963045,1,25.204609
237,3117,2.955271,4,0.962997,1,26.272804
238,3122,3.794019,5,0.962938,1,27.394669
239,3129,6.195803,7,0.962855,1,29.567065
240,3133,2.757291,4,0.962808,1,24.5005
241,3163,23.101138,30,0.962451,0,23.299158
242,3193,23.114156,30,0.962095,0,23.339204
243,3212,14.344459,19,0.961869,1,23.579698
244,3241,21.786927,29,0.961525,1,23.516211
245,3250,6.050933,9,0.961418,1,21.887966
246,3280,20.63006,30,0.961062,1,21.288492
247,3287,4.798264,7,0.960979,1,23.348004
248,3295,5.613859,8,0.960884,1,23.131025
249,3303,5.564909,8,0.960789,1,22.757887
250,3314,8.367438,11,0.960658,1,24.647196
251,3318,2.399343,4,0.960611,1,21.885074
252,3328,7.247815,10,0.960492,1,24.021651
253,3356,19.045637,28,0.960159,1,20.906953
254,3382,21.855932,26,0.959851,1,25.885176
255,3386,2.131782,4,0.959803,1,21.3332
256,3416,23.313293,30,0.959447,0,23.49983
257,3420,2.403409,4,0.959399,1,22.881433
258,3424,2.568289,4,0.959352,1,24.438963
259,3450,19.816334,26,0.959043,1,23.500369
260,3459,7.955326,9,0.958936,1,28.608696
261,3463,2.794337,4,0.958889,1,24.621241
262,3469,4.163499,6,0.958817,1,23.379279
263,3480,8.372613,11,0.958687,1,25.464124
264,3483,1.602273,3,0.958651,1,21.808005
265,3493,8.55905,10,0.958533,1,27.880033
266,3503,6.878032,10,0.958414,1,23.173311
267,3518,12.085807,15,0.958236,1,25.413396
268,3548,22.450574,30,0.957879,0,22.49433
269,3559,7.247796,11,0.957749,1,21.144249
270,3574,11.408698,15,0.957571,1,24.165209
271,3585,7.816441,11,0.95744,1,23.526991
272,3592,5.168319,7,0.957357,1,24.570313
273,3603,8.446031,11,0.957226,1,25.611514
274,3606,1.767153,3,0.957191,1,24.14964
275,3630,16.892479,24,0.956906,1,22.240842
276,3641,9.754335,11,0.956775,1,28.066455
277,3647,3.772992,6,0.956704,1,21.672285
278,3657,7.247792,10,0.956585,1,23.01738
279,3667,6.811763,10,0.956466,1,22.218934
280,3670,1.767153,3,0.956431,1,23.347427
281,3685,10.42605,15,0.956252,1,22.018243
282,3702,12.853347,17,0.956051,1,24.647032
283,3706,2.924645,4,0.956003,1,27.526342
284,3736,22.378576,30,0.955647,1,23.466909
285,3739,1.764923,3,0.955611,1,23.734909
286,3753,11.675272,14,0.955445,1,26.712104
287,3771,16.393428,18,0.955231,1,28.034055
288,3777,4.56022,6,0.95516,1,26.702518
289,3807,23.031688,30,0.954804,0,23.034352
290,3819,8.525901,12,0.954661,1,23.368668
291,3831,9.163029,12,0.954519,1,24.266744
292,3861,21.422007,30,0.954163,0,21.471686
293,3891,22.164103,30,0.953806,0,22.132345
294,3908,14.603155,17,0.953604,1,26.835548
295,3925,12.946645,17,0.953403,1,24.057582
296,3940,12.211049,15,0.953224,1,26.347105
297,3948,5.529863,8,0.953129,1,23.764748
298,3952,2.583331,4,0.953082,1,25.433279
299,3960,5.617484,8,0.952987,1,24.222536
300,3970,7.259498,10,0.952868,1,24.123741
301,3979,7.155071,9,0.952761,1,26.069711
302,3991,8.724826,12,0.952619,1,23.167702
303,3995,2.761346,4,0.952571,1,25.021018
304,3999,2.794424,4,0.952524,1,26.748061
305,4006,5.957172,7,0.952441,1,27.870383
306,4015,6.364218,9,0.952334,1,23.34267
307,4040,17.99559,25,0.952037,1,22.249548
308,4058,12.259879,18,0.951823,1,21.762581
309,4062,2.280025,4,0.951776,1,20.457445
310,4066,3.052257,4,0.951728,1,28.340192
311,4078,8.333469,12,0.951586,1,22.106305
312,4097,13.566095,19,0.95136,1,22.547054
313,4111,9.584353,14,0.951194,1,22.293068
314,4122,7.140087,11,0.951063,1,20.616326
315,4152,23.03701,30,0.950707,0,23.500166
316,4165,10.404404,13,0.950553,1,26.076823
317,4168,1.960209,3,0.950517,1,24.334
318,4198,22.910861,30,0.950161,0,22.965653
319,4214,11.970462,16,0.949971,1,23.776805
320,4221,5.316027,7,0.949887,1,26.424398
321,4236,10.064902,15,0.949709,1,21.113594
322,4266,23.185454,30,0.949353,0,23.494277
323,4271,3.197879,5,0.949294,1,22.508059
324,4275,3.277229,4,0.949246,1,29.742582
325,4294,14.860859,19,0.949021,1,24.657104
326,4308,10.520529,14,0.948854,1,23.887675
327,4322,10.724216,14,0.948688,1,24.467292
328,4332,8.557331,10,0.948569,1,27.207824
329,4341,6.28272,9,0.948462,1,22.902724
330,4343,1.278391,2,0.948439,1,29.499772
331,4365,17.417853,22,0.948178,1,24.63992
332,4373,5.839559,8,0.948083,1,24.303555
333,4381,6.158433,8,0.947987,1,25.779718
334,4386,3.363478,5,0.947928,1,23.588191
335,4397,9.592844,11,0.947797,1,27.709667
336,4401,2.957371,4,0.94775,1,26.869353
337,4431,23.50361,30,0.947394,0,23.86768
338,4447,12.529818,16,0.947204,1,24.504889
339,4456,6.596254,9,0.947097,1,24.064047
340,4467,9.356323,11,0.946966,1,27.281023
341,4495,22.450458,28,0.946634,1,25.14195
342,4508,9.965916,13,0.946479,1,24.921438
343,4512,2.401174,4,0.946432,1,22.348937
344,4531,13.260391,19,0.946206,1,21.816627
345,4534,1.960209,3,0.946171,1,25.028024
346,4539,3.98759,5,0.946111,1,28.346896
347,4560,17.09608,21,0.945862,1,25.962215
348,4578,15.700586,18,0.945648,1,27.685148
349,4581,1.786234,3,0.945612,1,25.577705
350,4587,4.557426,6,0.945541,1,25.064227
351,4595,5.32732,8,0.945446,1,21.990447
352,4598,1.788291,3,0.945411,1,25.577705
353,4617,13.337377,19,0.945185,1,22.073106
354,4624,5.557239,7,0.945102,1,26.375343
355,4638,12.551931,14,0.944936,1,28.391305
356,4647,6.642656,9,0.944829,1,24.086189
357,4656,7.36516,9,0.944722,1,26.671528
358,4679,17.177988,23,0.944449,1,23.4261
359,4683,2.759115,4,0.944401,1,25.021018
360,4698,12.246859,15,0.944223,1,26.464896
361,4701,1.600037,3,0.944187,1,20.691448
362,4711,7.280938,10,0.944069,1,23.178945
363,4726,9.901191,15,0.943891,1,20.242891
364,4730,2.398983,4,0.943843,1,22.881433
365,4740,8.082146,10,0.943724,1,26.009268
366,4746,3.892333,6,0.943653,1,22.506809
367,4767,16.929132,21,0.943404,1,25.29735
368,4771,2.563432,4,0.943356,1,24.695191
369,4801,23.083926,30,0.943,0,23.138014
370,4812,7.133126,11,0.942869,1,20.556746
371,4816,3.277229,4,0.942822,1,29.742582
372,4829,10.210371,13,0.942667,1,25.690684
373,4842,10.249818,13,0.942513,1,25.092596
374,4871,20.195181,29,0.942169,1,21.437645
375,4890,14.527674,19,0.941943,1,24.482479
376,4900,7.483969,10,0.941824,1,24.112482
377,4916,12.104453,16,0.941634,1,24.694086
378,4924,5.845471,8,0.941539,1,23.851841
379,4954,22.775058,30,0.941183,0,23.13349
380,4977,17.540591,23,0.94091,1,24.020793
381,4994,11.906791,17,0.940708,1,22.089675
382,5008,9.69227,14,0.940542,1,22.426474
383,5018,8.161354,10,0.940423,1,26.624415
384,5025,5.957163,7,0.94034,1,28.400046
385,5028,1.958373,3,0.940304,1,23.385962
386,5033,3.792313,5,0.940245,1,26.090643
387,5036,1.958373,3,0.940209,1,23.456451
388,5040,3.193532,4,0.940162,1,29.242529
389,5048,5.208172,8,0.940067,1,21.848643
390,5070,15.191984,22,0.939806,1,21.51754
391,5075,3.364569,5,0.939746,1,24.008456
392,5083,7.277194,8,0.939651,1,29.871181
393,5094,9.754346,11,0.939521,1,28.066455
394,5098,2.596465,4,0.939473,1,24.675516
395,5125,22.372028,27,0.939153,1,25.608425
396,5131,3.643662,6,0.939081,1,20.296808
397,5146,12.443031,15,0.938903,1,25.93452
398,5151,3.395372,5,0.938844,1,24.740413
399,5165,10.248185,14,0.938678,1,23.948979
400,5178,9.996246,13,0.938523,1,25.002313
401,5188,8.356436,10,0.938404,1,26.707574
402,5195,5.35855,7,0.938321,1,25.891884
403,5207,9.597838,12,0.938179,1,25.470047
404,5211,2.566054,4,0.938131,1,25.072894
405,5234,17.993455,23,0.937858,1,24.857961
406,5259,18.111209,25,0.937561,1,22.75899
407,5279,16.227175,20,0.937324,1,25.668037
408,5282,1.655784,3,0.937288,1,24.46733
409,5289,6.11567,7,0.937205,1,29.300398
410,5299,6.450104,10,0.937086,1,20.97891
411,5304,3.955611,5,0.937027,1,26.426949
412,5307,1.767153,3,0.936991,1,23.734909
413,5337,22.793047,30,0.936635,0,23.133319
414,5340,1.853301,3,0.936599,1,26.122547
415,5353,9.504684,13,0.936445,1,23.468021
416,5361,5.808546,8,0.93635,1,24.125212
417,5367,4.013409,6,0.936279,1,23.33919
418,5388,16.944302,21,0.936029,1,25.399726
419,5398,8.676515,10,0.935911,1,28.396945
420,5401,1.958373,3,0.935875,1,24.021175
421,5407,4.955055,6,0.935804,1,27.336292
422,5419,8.281658,12,0.935661,1,22.807153
423,5437,15.154666,18,0.935447,1,26.600018
424,5450,10.757681,13,0.935293,1,26.545588
425,5457,4.176249,7,0.93521,1,19.769376
426,5461,2.453685,4,0.935163,1,24.583333
427,5466,3.760353,5,0.935103,1,25.415145
428,5476,8.555612,10,0.934984,1,27.038866
429,5488,9.203603,12,0.934842,1,25.1644
