episode_index,global_step,episode_reward,episode_length,epsilon,crashed,mean_speed
1,9,6.458237,9,0.999905,1,24.32997
2,19,7.588398,10,0.999786,1,25.673312
3,23,2.403409,4,0.999739,1,24.194444
4,33,8.560597,10,0.99962,1,27.623777
5,49,10.859243,16,0.99943,1,21.237788
6,53,2.563432,4,0.999382,1,24.695191
7,60,5.404071,7,0.999299,1,25.055431
8,67,5.959013,7,0.999216,1,28.034906
9,78,8.332213,11,0.999086,1,24.398827
10,83,3.591381,5,0.999026,1,25.543217
11,101,16.159472,18,0.998812,1,28.060705
12,113,7.93204,12,0.99867,1,21.475487
13,135,16.845384,22,0.998409,1,23.751913
14,141,4.75612,6,0.998337,1,26.179635
15,151,7.614304,10,0.998219,1,24.795316
16,171,14.662387,20,0.997981,1,23.219779
17,179,6.473264,8,0.997886,1,27.371291
18,182,1.960209,3,0.997851,1,25.412525
19,212,22.622054,30,0.997494,0,22.701017
20,240,20.392528,28,0.997162,1,22.860137
21,249,6.405147,9,0.997055,1,24.349523
22,264,10.971442,15,0.996877,1,22.867614
23,274,7.600269,10,0.996758,1,24.593625
24,278,2.06295,4,0.996711,1,20.866514
25,296,14.800198,18,0.996497,1,26.116258
26,299,2.075473,3,0.996461,1,27.999848
27,303,2.957377,4,0.996414,1,25.753108
28,307,2.568289,4,0.996366,1,24.051182
29,326,14.865712,19,0.996141,1,25.176935
30,348,16.587821,22,0.995879,1,23.640575
31,353,2.812759,5,0.99582,1,19.326204
32,383,21.451418,30,0.995464,0,21.534352
33,388,3.959047,5,0.995404,1,27.760046
34,406,14.24993,18,0.995191,1,25.069119
35,410,2.792487,4,0.995143,1,24.858553
36,440,21.082786,30,0.994787,0,21.034351
37,458,13.50708,18,0.994573,1,23.853557
38,462,2.959217,4,0.994526,1,25.096341
39,483,14.825926,21,0.994276,1,21.867184
40,513,23.310036,30,0.99392,0,23.534352
41,543,20.53988,30,0.993564,0,20.201018
42,545,1.278391,2,0.99354,1,29.499772
43,548,1.960209,3,0.993504,1,25.028024
44,554,4.08539,6,0.993433,1,23.745404
45,558,2.792487,4,0.993386,1,24.621241
46,582,17.818608,24,0.993101,1,23.059476
47,591,6.716852,9,0.992994,1,24.381682
48,621,20.822842,30,0.992637,0,20.701018
49,651,23.431434,30,0.992281,0,23.633176
